,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,hashtags
20,7306252753158950187,2023-11-27T16:12:30,6.0,US,"['gail lewis walmart', ' guy slipping in ice for 15 seconds', ' people falling on ice funny', ' black ice', ' ESPN', ' Ice Skating', ' running on ice', ' slip on ice', ' people falling in ice', ' Snow Tiktoks']",2000000.0,108700.0,19800.0,28900000.0,He kept going 😂 (via @Wendy Woods 💕) #snow #cold ,False,,espn,ESPN,,,,,,True,"['snow', 'cold']"
162,7338698880831442222,2024-02-23T02:40:02,250.0,US,"['access sos', ' gabrielle wong', ' access sos app', ' public speaking', ' gabriella wong dad', ' Public Speaking Tips']",372300.0,8081.0,2822.0,4300000.0,"Watch Gabriella Wong, founder of accesSOS, present on the global stage at the #UnitedNations to discuss the need for equal access to emergency services.  #TechForGood #ZeroCon24 #Accessibility",False,,911access,911access,,,,,,False,"['unitednations', 'techforgood', 'zerocon24', 'accessibility']"
225,7335305390181158186,2024-02-13T23:11:51,17,US,"['zendaya tom holland', ' zendaya', ' timothee chalamet', ' mitsy zendaya', ' zendaya timothee kiss', ' timothee chalamet and zendaya kiss', ' zendaya and tom holland', ' zendaya and timothee', ' Tom And Zendaya', ' zendaya interview']",1400000,4732,4200,19100000,We asked Zendaya if it was weird shooting a kissing scene with actor and friend Timothée Chalamet for Dune 2.,False,,brutamerica,Brut.,,,,,,True,[]
250,7336748979134172446,2024-02-17T20:33:43,25,US,"['anthony edwards left hand', ' Nba', ' curry vs sabrina', ' scottie barnes all star', ' steph curry vs sabrina', ' steph vs sabrina 3pt result', ' nba all star game 2024', ' anthony edwards', ' all star nba 2024', ' scottie barnes']",138400,423,376,2200000,He stayed true to his word 🤣 #anthonyedwards #nba #nbaallstar ,False,,bleacherreport,bleacherreport,,,,,,True,"['anthonyedwards', 'nba', 'nbaallstar']"
256,7340051489060048174,2024-02-26T18:08:33,19,US,"['biden ice cream', ' Ice Cream', ' joe biden ceasefire', ' ice cream so good', ' Ice Creams Over The USA', ' Aaron']",174700,18200,18400,4500000,"Pres. Biden said he ""hopes"" to have an Israel-Hamas cease-fire in Gaza by next Monday, adding, his national security advisor says ""we're close."" The comments from the president came during a stop at Van Leeuwen’s ice cream shop in New York City.",False,,abcnews,ABC News,,,,,,True,[]
312,7335086838119501086,2024-02-13T09:04:42,20,US,"['our military operation in rafah', ' biden rafah', ' king abdullah jordan', ' Military Press', ' freudian slip', ' biden fall collection', ' president head statue', ' Jordan', ' king of jordan', ' king of jordan speech']",93400,4333,4176,981900,"'Our military operation in Rafah...' #US President #JoeBiden corrected himself after accidentally referring to Israel's looming ground offensive in southern Gaza as a US military operation, during a joint press conference with Jordan's #KingAbdullah II at the White House. #news #biden ",False,,aljazeeraenglish,Al Jazeera English,,,,,,True,"['us', 'joebiden', 'kingabdullah', 'news', 'biden']"
345,7325491869574532395,2024-01-18T12:30:22,7,US,"['army national guard', ' sat score', ' sat', ' College Scholarship', ' national guard college student', ' michigan', ' Paying For College', ' Different Branches Of Military', ' College Corps', ' How To Get A Full Ride Scholarship']",129200,206,738,1700000,Bucko that lil $4500 a year is NOT going to pay for 30 credits a year 🥴🥴 You was better off joining the Army National Guard where you can go to school full-time and for free while serving in your local community 🤑  #army #education #miltok #michigan #nationalguard #military #meps #recruiting #miltokcommunity #scholarship #fafsa #freecollege #marinecorps #detroit ,False,,ssghowardmi,ssghowardmi,,,,,,False,"['army', 'education', 'miltok', 'michigan', 'nationalguard', 'military', 'meps', 'recruiting', 'miltokcommunity', 'scholarship', 'fafsa', 'freecollege', 'marinecorps', 'detroit']"
901,7333685047167438122,2024-02-09T14:24:09,16,US,"['soaked v2', ' soaked shy smith', ' soaked edit audio', ' hector bellerin edit', ' Football Player', ' Football Edit', ' Soccer Player', ' Footballers', ' héctor', ' Sport Edits']",142000,1461,494,1200000,bellerín dont get me for this one 👀… this version is toooo good !!#HECTORBELLERIN #héctorbellerín #hectorbellerinedit #futbol #footballedit #edit #fyp #foryoupage #realbetis #football ,False,,multicinema,bri ⋆˚❀,,,,,,False,"['hectorbellerin', 'héctorbellerín', 'hectorbellerinedit', 'futbol', 'footballedit', 'edit', 'fyp', 'foryoupage', 'realbetis', 'football']"
1007,7336017777943137579,2024-02-15T21:16:06,104,US,[],24200,1067,1034,136700,A Palestinian confronts Bernie Sanders in Dublin #CapCut #debate #like #follow #share #viralvideo #bernie ,False,,worldnewscoverage,WorldNews,,,,,,False,"['capcut', 'debate', 'like', 'follow', 'share', 'viralvideo', 'bernie']"
1056,7334525377911590187,2024-02-11T20:44:45,35,US,"['Alicia Keys', ' alicia keys super bowl', ' Usher Super Bowl', ' alicia keys and usher', ' usher alicia keys', ' Usher', ' halftime show 2024', "" if i ain't got you"", ' some people want it all', ' super bowl halftime show']",2200000,34500,18200,32500000,IF I AIN’T GOT YOOUUUUU ❤️ #aliciakeys #usher #applemusichalftime #nfl #superbowl ,False,,nfl,NFL,,,,,,True,"['aliciakeys', 'usher', 'applemusichalftime', 'nfl', 'superbowl']"
1063,7309179331329183022,2023-12-05T13:29:04,48,US,[],79600,2903,6847,1400000,Replying to @Newsweek #news #newsweek #politics #congress #highereducation ,False,,newsweek,Newsweek,,,,,,True,"['news', 'newsweek', 'politics', 'congress', 'highereducation']"
1064,7335897961857092906,2024-02-15T13:31:38,0,US,"['lawyers', ' Wall Street', ' Work Life', ' Journal', ' highest paid careers', ' Nutritionist Career', ' Workforce Housing', ' Best Careers', ' Lawyer Career Path', ' Business Careers']",23600,329,948,424400,"Almost 96% of all dental hygienists are women. Six out of seven lawyers are white. And the racial and ethnic makeup of paralegals, hairdressers and dietitians closely mirrors that of the overall U.S. workforce.  The Bureau of Labor Statistics each year publishes data looking at the gender and racial composition of hundreds of occupations, offering a snapshot of how workers sort themselves into many of the most important jobs in the country. Here’s a breakdown of America’s workforce in charts. #labormarket #careers #workforce #wsj #wallstreetjournal #thewallstreetjournal ",False,,wallstreetjournal,The Wall Street Journal,,,,,,True,"['labormarket', 'careers', 'workforce', 'wsj', 'wallstreetjournal', 'thewallstreetjournal']"
